Date_reported,Country_code,Country,WHO_region,New_hospitalizations_last_7days,New_icu_admissions_last_7days,New_hospitalizations_last_28days,New_icu_admissions_last_28days
2025-03-23,WLF,Wallis And Futuna,WPR,,,,
2025-03-23,YEM,Yemen,EMR,,,,
2025-03-23,ZMB,Zambia,AFR,,,,
2025-03-23,ZWE,Zimbabwe,AFR,,,,
2025-03-16,AFG,Afghanistan,EMR,,,,
2025-03-16,ALB,Albania,EUR,,,,
2025-03-16,DZA,Algeria,AFR,,,,
2025-03-16,ASM,American Samoa,WPR,,,,
2025-03-16,AND,Andorra,EUR,,,,
2025-03-16,AGO,Angola,AFR,,,,
2025-03-16,AIA,Anguilla,AMR,,,,
2025-03-16,ATG,Antigua And Barbuda,AMR,,,,
2025-03-16,ARG,Argentina,AMR,35,,126,
2025-03-16,ARM,Armenia,EUR,,,,
2025-03-16,ABW,Aruba,AMR,,,,
2025-03-16,AUS,Australia,WPR,,2,,18
2025-03-16,AUT,Austria,EUR,,,,
2025-03-16,AZE,Azerbaijan,EUR,,,,
2025-03-16,BHS,Bahamas,AMR,,,,
2025-03-16,BHR,Bahrain,EMR,,,,
2025-03-16,BGD,Bangladesh,SEAR,,,,
2025-03-16,BRB,Barbados,AMR,,,,
2025-03-16,BLR,Belarus,EUR,,,,
2025-03-16,BEL,Belgium,EUR,,,,
2025-03-16,BLZ,Belize,AMR,,,,
2025-03-16,BEN,Benin,AFR,,,,
2025-03-16,BMU,Bermuda,AMR,,,,
2025-03-16,BTN,Bhutan,SEAR,,,,
2025-03-16,BOL,Bolivia (Plurinational State Of),AMR,0,0,1,0
2025-03-16,BES,"Bonaire, Sint Eustatius And Saba",AMR,,,,
2025-03-16,BIH,Bosnia And Herzegovina,EUR,3,0,4,0
2025-03-16,BWA,Botswana,AFR,,,,
2025-03-16,BRA,Brazil,AMR,154,47,999,281
2025-03-16,VGB,British Virgin Islands,AMR,0,0,0,0
2025-03-16,BRN,Brunei Darussalam,WPR,1,0,1,0
